n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake,trust_score
92,4.673913043478261,56.92307692307692,1353.0,0.0,796,17,0.0021328364338138,2.9276892415241793e-09,0.1,5.0,0.16,0,36.80869565217391
82,4.426829268292683,46.77777777777778,1338.0,0.0,2764,17,0.0012191502051452,2.670969165916803e-07,0.3333333333333333,3.0,0.18,0,34.52682926829268
137,4.284671532846716,14.65441176470588,255.0,0.0,21174,6,0.0002413433096632,5.856745108913845e-07,0.1873015873015873,43.0,0.08,0,47.9941605839416
164,4.603658536585366,15.981595092024538,237.0,0.0,11343,6,0.0001885824779858,3.60148896993255e-05,0.0238095238095238,31.0,0.03,0,54.94146341463415
88,4.534090909090909,16.22988505747126,323.0,0.0,36671,13,0.0007395275106026,5.790785037635304e-05,0.2454356181934657,356.0,0.31,1,18.790909090909093
70,4.357142857142857,44.79710144927536,420.0,0.0,7069,11,0.0001643342516333,8.117325417363456e-11,0.0952380952380952,15.0,0.15,0,39.78571428571429
52,4.519230769230769,21.17647058823529,321.0,0.0,47328,6,0.0002597627738778,4.5378376622386565e-07,0.1282051282051282,45.0,0.19,0,34.91538461538462
56,4.75,21.690909090909084,128.0,0.0,43879,1,0.0001123069136061,1.229446791361827e-06,0.0541176470588235,52.0,0.28,0,23.42142857142857
83,4.096385542168675,21.79268292682925,253.0,0.0,27940,3,0.0003772191748807,3.0060238836558424e-06,0.1875746714456392,247.0,0.18,0,36.840963855421684
58,3.931034482758621,19.7719298245614,555.0,0.0,4867,16,4.642669225319238e-05,-0.0,0.0,0.0,0.06,0,53.406896551724124
389,4.5501285347043705,3.6701030927834952,108.0,0.0,40075,1,0.0001723610782557,2.2951302153722505e-06,0.0419673883988238,89.0,0.02,0,58.83958868894601
86,4.197674418604652,64.89411764705882,553.0,1.0,712,16,0.0002216191029431,9.707064240037642e-09,0.1111111111111111,9.0,0.11,0,47.32790697674418
667,4.4047976011994,4.163663663663657,79.0,0.0,4754,7,0.0029211091180985,0.9970399817669632,0.3544303797468354,2098.0,0.83,1,0.0
667,4.4047976011994,4.136636636636632,79.0,0.0,6260,7,0.002921109118092,0.9970399817669628,0.3544303797468354,2098.0,0.83,1,0.0
