n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
205,4.4731707317073175,22.916666666666668,720.0,0.0,666,15,0.0006346760085812,1.615061525654165e-07,0.064874342489772,63.0,0.08,0
406,3.4729064039408866,14.101234567901226,375.0,0.0,674,15,0.0006121977932609,5.3146395038814205e-06,0.0584415584415584,63.0,0.05,0
652,4.2975460122699385,8.514592933947766,585.0,0.0,696,15,0.0007583013954563,2.8115561628052717e-05,0.0778846153846153,79.0,0.06,0
162,4.382716049382716,16.24223602484471,263.0,0.0,705,15,0.0007742871085365,3.663509608187164e-06,0.0608695652173913,79.0,0.06,0
136,4.551470588235294,27.48148148148148,575.0,0.0,723,15,0.000494992671371,2.713772915266067e-06,0.0598006644518272,46.0,0.07,0
305,3.4754098360655736,15.930921052631572,519.0,0.0,746,15,0.0005239593984466,1.8455923749601409e-06,0.0567375886524822,50.0,0.04,0
384,4.0078125,6.911227154046991,393.0,0.0,740,15,0.0007122017493223,5.387028151169412e-06,0.046462063086104,73.0,0.04,0
341,4.60117302052786,12.55,572.0,0.0,744,15,0.0005653376657685,1.8764115680681597e-06,0.0531914893617021,55.0,0.06,0
79,4.405063291139241,43.692307692307686,654.0,0.0,758,15,0.0007953018442751,7.202345862530325e-06,0.179982440737489,84.0,0.13,0
123,4.747967479674797,36.42622950819671,346.0,0.0,760,15,0.0009040268535365,5.53599838313433e-06,0.1932617549055905,98.0,0.19,0
281,4.622775800711744,15.353571428571424,408.0,0.0,762,15,0.0008328964906418,7.1663995986493415e-06,0.0707792207792207,88.0,0.07,0
298,4.617449664429531,15.158249158249156,425.0,0.0,763,15,0.0008284245236258,3.7305164197368624e-06,0.0697674418604651,88.0,0.07,0
308,4.23051948051948,17.657980456026053,349.0,0.0,764,15,0.0006068798658346,1.307179875130456e-07,0.0698039215686274,58.0,0.06,0
488,4.020491803278689,9.359342915811087,325.0,0.0,785,15,0.0005064079271603,3.5861277875584e-06,0.054968287526427,48.0,0.02,0
592,3.954391891891892,9.407783417935695,395.0,0.0,790,15,0.0008444878830171,7.189223697562718e-06,0.056007226738934,88.0,0.05,0
170,3.5823529411764707,26.18934911242603,440.0,0.0,800,15,0.000658953526335,1.8776327677631055e-06,0.103954802259887,66.0,0.05,0
461,3.967462039045553,11.030434782608692,418.0,0.0,829,15,0.0009188254814146,7.250120999042277e-06,0.0581839553335292,99.0,0.05,0
201,4.63681592039801,22.26,434.0,0.0,828,15,0.0006195313353183,0.0026420557891566,0.1324041811846689,65.0,0.07,0
572,4.0227272727272725,9.115586690017512,372.0,0.0,833,15,0.0007336167380292,1.5914544172884228e-07,0.0792838874680307,75.0,0.08,0
176,4.176136363636363,28.994285714285702,591.0,0.0,839,15,0.0005389952761857,5.355805881859617e-06,0.0791855203619909,53.0,0.04,0
351,4.182336182336182,15.137142857142846,430.0,0.0,841,15,0.0010064748846558,3.7569809689122543e-06,0.0668039350263097,108.0,0.07,0
315,4.263492063492064,14.038216560509548,367.0,0.0,842,15,0.0009312508524123,0.0026420345088136,0.0621722846441947,104.0,0.06,0
341,4.683284457478006,14.7735294117647,589.0,0.0,847,15,0.0011477929638724,1.0782206365295958e-05,0.0678694158075601,129.0,0.09,0
226,4.15929203539823,22.51111111111112,527.0,0.0,853,15,0.0005924649841243,3.6057333060485553e-06,0.1074020319303338,59.0,0.02,0
583,4.068610634648371,8.256013745704468,312.0,0.0,860,15,0.0005949457290267,5.398738901962258e-06,0.0636363636363636,63.0,0.04,0
460,4.102173913043479,11.908496732026132,331.0,0.0,866,15,0.0007643380737135,3.639090409137637e-06,0.0800804828973843,79.0,0.04,0
574,4.17595818815331,8.20942408376963,425.0,0.0,867,15,0.0007797214656971,5.4127209106991915e-06,0.0684931506849315,80.0,0.04,0
312,4.8173076923076925,17.215434083601284,648.0,0.0,875,15,0.0009372519643188,1.0759541158295928e-05,0.0757314974182444,102.0,0.09,0
411,4.630170316301703,9.234146341463417,489.0,0.0,918,15,0.0008926158775236,7.178214285887024e-06,0.0673903211216644,93.0,0.06,0
402,3.845771144278607,10.2718204488778,372.0,0.0,931,15,0.0007493455245755,4.320960301073517e-06,0.0575452716297786,80.0,0.04,0
385,3.9532467532467535,12.5,456.0,0.0,987,15,0.0006241621338445,1.8680317390563624e-06,0.0816696914700544,62.0,0.05,0
186,4.575268817204301,24.054054054054053,365.0,0.0,991,15,0.0006765619554362,3.641460176662017e-06,0.1397849462365591,68.0,0.05,0
364,4.656593406593407,12.628099173553716,496.0,0.0,979,15,0.0011604279864526,5.541368728031664e-06,0.0710541642399534,128.0,0.1,0
141,4.879432624113475,26.278571428571425,487.0,0.0,993,15,0.0005595333342901,1.898083131900932e-06,0.093719806763285,55.0,0.18,0
504,4.732142857142857,12.143141153081505,400.0,0.0,995,15,0.0011206157066463,5.554789785943194e-06,0.0885154061624649,125.0,0.09,0
671,4.85096870342772,7.35671641791044,547.0,0.0,998,15,0.0005316582666261,3.589544638515166e-06,0.0560253699788583,51.0,0.08,0
446,3.647982062780269,11.260674157303368,460.0,0.0,1001,15,0.0008068192177473,3.6880397306283634e-06,0.0697825381369685,85.0,0.04,0
340,4.376470588235295,14.238938053097336,303.0,0.0,1000,15,0.0008400316609234,3.6507444207144073e-06,0.0803921568627451,90.0,0.05,0
162,4.524691358024692,23.124223602484467,671.0,0.0,1030,15,0.0007926853836781,1.8965780770361695e-06,0.1011904761904761,80.0,0.09,0
153,4.686274509803922,27.02631578947368,458.0,0.0,1056,15,0.0005421800358619,8.062239953307543e-08,0.1024390243902439,52.0,0.11,0
214,4.518691588785047,19.014084507042245,597.0,0.0,1058,15,0.000647842369777,9.60559010978233e-07,0.0832562442183163,63.0,0.07,0
130,4.392307692307693,33.73643410852713,490.0,0.0,1059,15,0.0005947678887979,1.23361608420179e-07,0.0979797979797979,59.0,0.12,0
311,4.684887459807074,11.14838709677419,518.0,0.0,1068,15,0.0009268941910946,3.66605573133816e-06,0.0749658002735978,99.0,0.07,0
194,4.231958762886598,13.704663212435232,322.0,0.0,1112,15,0.0005636964577797,1.880763464659656e-06,0.0727272727272727,55.0,0.02,0
198,4.666666666666667,19.233502538071065,306.0,0.0,1137,15,0.0006582547466373,9.580205029052102e-06,0.0666666666666666,68.0,0.04,0
270,4.051851851851852,17.245353159851295,307.0,0.0,1154,15,0.0020345543954298,2.313908455405892e-06,0.0980036297640653,344.0,0.18,0
223,4.457399103139013,17.229729729729723,421.0,0.0,1155,15,0.0008425723855845,7.214083015773187e-06,0.1012658227848101,90.0,0.05,0
190,4.526315789473684,21.15873015873015,779.0,0.0,1161,15,0.0007623262398452,8.945334287403592e-06,0.0698043363299841,79.0,0.08,0
175,4.44,21.62068965517241,359.0,0.0,1141,15,0.0010018168459062,0.0026439918380949,0.1530825496342737,112.0,0.11,0
371,4.1455525606469,11.081081081081075,328.0,0.0,1150,15,0.0008134451032422,4.348888550384033e-06,0.0579455662862159,85.0,0.06,0
224,4.473214285714286,17.57399103139013,593.0,0.0,1157,15,0.000444856178759,9.183195653930181e-08,0.0647773279352226,40.0,0.09,0
508,4.03740157480315,9.901380670611434,338.0,0.0,1193,15,0.0008816327912283,3.693167894705605e-06,0.0603508771929824,93.0,0.05,0
362,3.734806629834254,9.218836565096945,273.0,0.0,1167,15,0.0006135445592578,1.8271170488245549e-06,0.0571428571428571,60.0,0.04,0
297,3.8383838383838382,14.219594594594597,632.0,0.0,1168,15,0.000600579230563,1.857631911961979e-06,0.072156862745098,59.0,0.04,0
289,4.602076124567474,12.45486111111111,506.0,0.0,1189,15,0.0011122186364299,3.7635216104172928e-06,0.0676434676434676,122.0,0.09,0
343,4.425655976676385,12.312865497076018,492.0,0.0,1166,15,0.0011138280904656,3.7291243874860055e-06,0.0549865229110512,121.0,0.09,0
248,4.520161290322581,11.838056680161932,492.0,0.0,1186,15,0.000650795855802,1.9060595768239064e-06,0.0820802005012531,66.0,0.06,0
211,4.61611374407583,17.585714285714282,305.0,0.0,1187,15,0.0007361146882031,1.91731150428884e-06,0.0885816692268305,75.0,0.07,0
237,3.60337552742616,17.25,432.0,0.0,1162,15,0.0006930087050304,3.682419365967107e-06,0.1532738095238095,72.0,0.03,0
349,4.510028653295129,11.135057471264364,405.0,0.0,1160,15,0.0010944291884535,1.2524756761286654e-05,0.0687237026647966,117.0,0.1,0
153,4.287581699346405,18.82894736842105,295.0,0.0,1178,15,0.0006196726326879,3.620659173169276e-06,0.0675324675324675,62.0,0.06,0
258,4.174418604651163,11.98443579766537,385.0,0.0,1219,15,0.0005421617703397,1.8701335114503164e-06,0.1363636363636363,54.0,0.03,0
335,4.459701492537313,15.2754491017964,657.0,0.0,1227,15,0.0005989055359881,5.382479421144374e-06,0.0664160401002506,60.0,0.05,0
136,4.588235294117647,36.84444444444444,412.0,0.0,1223,15,0.0007388118788567,3.6699535119390504e-06,0.0969696969696969,76.0,0.09,0
380,4.552631578947368,12.482849604221633,618.0,0.0,1274,15,0.000988226681772,6.122002055985801e-06,0.0708771929824561,106.0,0.07,0
221,4.524886877828054,17.040909090909086,317.0,0.0,1270,15,0.0007245684561334,1.919891060195126e-06,0.0728900255754475,74.0,0.05,0
389,4.190231362467866,10.974226804123704,348.0,0.0,1269,15,0.0007686498467412,3.626271528854787e-06,0.0500782472613458,78.0,0.05,0
239,4.686192468619247,17.226890756302513,319.0,0.0,1254,15,0.0007746660086707,0.0026427989581867,0.0684684684684684,83.0,0.07,0
274,4.656934306569343,13.871794871794872,535.0,0.0,1285,15,0.0004688692271537,1.8606758221656909e-06,0.0452961672473867,43.0,0.07,0
284,4.651408450704225,14.448763250883392,545.0,0.0,1250,15,0.0005248901769923,5.378196559175874e-06,0.0570048309178743,51.0,0.07,0
183,4.765027322404372,22.934065934065927,407.0,0.0,1277,15,0.000739833512411,3.6778856069824062e-06,0.0825136612021857,78.0,0.08,0
307,4.384364820846906,10.960784313725489,513.0,0.0,1251,15,0.0009869436364956,1.961347871749306e-06,0.0634234234234234,108.0,0.07,0
371,4.31266846361186,10.251351351351342,424.0,0.0,1293,15,0.0009092144701909,5.437717374627722e-06,0.0640218878248974,96.0,0.05,0
450,4.693333333333333,8.47438752783964,363.0,0.0,1297,15,0.0009023739193458,1.936766962070456e-06,0.0575949367088607,95.0,0.06,0
